time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
0.602000,[Sector: 0 elevation: 0.000000],4,27,4407,390
0.602000,[Sector: 0 elevation: 0.000000],3,27,4407,390
0.602000,[Sector: 0 elevation: 0.000000],2,27,4407,390
0.602000,[Sector: 0 elevation: 0.000000],1,27,4407,390
0.602500,[Sector: 0 elevation: 0.000000],9,23,2577,312
0.602500,[Sector: 0 elevation: 0.000000],8,23,2467,299
0.602500,[Sector: 0 elevation: 0.000000],7,23,2577,312
0.602500,[Sector: 0 elevation: 0.000000],6,23,2577,312
0.602500,[Sector: 0 elevation: 0.000000],5,27,432,52
0.602500,[Sector: 0 elevation: 0.000000],4,27,432,52
0.602500,[Sector: 0 elevation: 0.000000],3,27,432,52
0.602500,[Sector: 0 elevation: 0.000000],2,27,432,52
0.602500,[Sector: 0 elevation: 0.000000],1,27,432,52
0.615000,[Sector: 0 elevation: 0.000000],9,17,977,169
0.615000,[Sector: 0 elevation: 0.000000],8,27,1087,117
0.615000,[Sector: 0 elevation: 0.000000],7,23,977,117
0.615000,[Sector: 0 elevation: 0.000000],6,17,977,169
0.615000,[Sector: 0 elevation: 0.000000],5,27,3085,312
0.615000,[Sector: 0 elevation: 0.000000],4,27,3085,312
0.615000,[Sector: 0 elevation: 0.000000],3,25,3085,338
0.615000,[Sector: 0 elevation: 0.000000],2,27,3085,312
0.615000,[Sector: 0 elevation: 0.000000],1,27,3085,312
0.625000,[Sector: 0 elevation: 0.000000],5,27,552,65
0.625000,[Sector: 0 elevation: 0.000000],4,27,552,65
0.625000,[Sector: 0 elevation: 0.000000],3,25,552,65
0.625000,[Sector: 0 elevation: 0.000000],2,27,552,65
0.625000,[Sector: 0 elevation: 0.000000],1,27,552,65
0.800500,[Sector: 0 elevation: 0.000000],9,17,12224,390
0.800500,[Sector: 0 elevation: 0.000000],8,27,12224,390
0.800500,[Sector: 0 elevation: 0.000000],7,25,12224,390
0.800500,[Sector: 0 elevation: 0.000000],6,15,12224,390
