time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
2.423,[Sector: 0 elevation: 0.000000],203.482656,1,dynamic_continuous_30s,bw100,100,rr
2.6005,[Sector: 0 elevation: 0.000000],5774.5431666,1,dynamic_continuous_30s,bw100,100,rr
2.6015,[Sector: 0 elevation: 0.000000],5772.7948356,1,dynamic_continuous_30s,bw100,100,rr
2.602,[Sector: 0 elevation: 0.000000],5776.2914976,1,dynamic_continuous_30s,bw100,100,rr
2.6025,[Sector: 0 elevation: 0.000000],1130.9080067999998,1,dynamic_continuous_30s,bw100,100,rr
2.614,[Sector: 0 elevation: 0.000000],4319.2678464,1,dynamic_continuous_30s,bw100,100,rr
2.624,[Sector: 0 elevation: 0.000000],762.1207542000001,1,dynamic_continuous_30s,bw100,100,rr
2.8005,[Sector: 0 elevation: 0.000000],5033.94021,1,dynamic_continuous_30s,bw100,100,rr
2.8015,[Sector: 0 elevation: 0.000000],5039.324035199999,1,dynamic_continuous_30s,bw100,100,rr
2.802,[Sector: 0 elevation: 0.000000],5043.4265466,1,dynamic_continuous_30s,bw100,100,rr
2.8025,[Sector: 0 elevation: 0.000000],2532.1410036,1,dynamic_continuous_30s,bw100,100,rr
2.8125,[Sector: 0 elevation: 0.000000],3333.203991,1,dynamic_continuous_30s,bw100,100,rr
2.8225,[Sector: 0 elevation: 0.000000],552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr
3.0005,[Sector: 0 elevation: 0.000000],5003.1592416,1,dynamic_continuous_30s,bw100,100,rr
3.0015,[Sector: 0 elevation: 0.000000],5028.207912,1,dynamic_continuous_30s,bw100,100,rr
3.002,[Sector: 0 elevation: 0.000000],5007.261753,1,dynamic_continuous_30s,bw100,100,rr
3.0025,[Sector: 0 elevation: 0.000000],2676.0455513999996,1,dynamic_continuous_30s,bw100,100,rr
3.003,[Sector: 0 elevation: 0.000000],19.1445228,1,dynamic_continuous_30s,bw100,100,rr
3.0125,[Sector: 0 elevation: 0.000000],3296.2276854,1,dynamic_continuous_30s,bw100,100,rr
3.013,[Sector: 0 elevation: 0.000000],1193.2162164,1,dynamic_continuous_30s,bw100,100,rr
3.0225,[Sector: 0 elevation: 0.000000],660.3794262000001,1,dynamic_continuous_30s,bw100,100,rr
3.023,[Sector: 0 elevation: 0.000000],203.482656,1,dynamic_continuous_30s,bw100,100,rr
3.2005,[Sector: 0 elevation: 0.000000],5774.5431666,1,dynamic_continuous_30s,bw100,100,rr
3.2015,[Sector: 0 elevation: 0.000000],5772.7948356,1,dynamic_continuous_30s,bw100,100,rr
3.202,[Sector: 0 elevation: 0.000000],5776.2914976,1,dynamic_continuous_30s,bw100,100,rr
3.2025,[Sector: 0 elevation: 0.000000],1130.9080067999998,1,dynamic_continuous_30s,bw100,100,rr
3.213,[Sector: 0 elevation: 0.000000],4321.0161774,1,dynamic_continuous_30s,bw100,100,rr
3.223,[Sector: 0 elevation: 0.000000],762.1207542000001,1,dynamic_continuous_30s,bw100,100,rr
3.4005,[Sector: 0 elevation: 0.000000],5033.94021,1,dynamic_continuous_30s,bw100,100,rr
3.4015,[Sector: 0 elevation: 0.000000],5039.324035199999,1,dynamic_continuous_30s,bw100,100,rr
3.402,[Sector: 0 elevation: 0.000000],5045.1748776,1,dynamic_continuous_30s,bw100,100,rr
3.4025,[Sector: 0 elevation: 0.000000],2530.3926726000004,1,dynamic_continuous_30s,bw100,100,rr
3.4125,[Sector: 0 elevation: 0.000000],3351.9212766,1,dynamic_continuous_30s,bw100,100,rr
3.413,[Sector: 0 elevation: 0.000000],20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr
3.4225,[Sector: 0 elevation: 0.000000],543.67326,1,dynamic_continuous_30s,bw100,100,rr
3.6005,[Sector: 0 elevation: 0.000000],5365.1293956,1,dynamic_continuous_30s,bw100,100,rr
3.6015,[Sector: 0 elevation: 0.000000],5378.1123941999995,1,dynamic_continuous_30s,bw100,100,rr
3.602,[Sector: 0 elevation: 0.000000],5369.231906999999,1,dynamic_continuous_30s,bw100,100,rr
3.6025,[Sector: 0 elevation: 0.000000],1929.4664454,1,dynamic_continuous_30s,bw100,100,rr
3.613,[Sector: 0 elevation: 0.000000],3672.2302344,1,dynamic_continuous_30s,bw100,100,rr
3.623,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
3.8005,[Sector: 0 elevation: 0.000000],5061.7730826,1,dynamic_continuous_30s,bw100,100,rr
3.8015,[Sector: 0 elevation: 0.000000],5073.0077502,1,dynamic_continuous_30s,bw100,100,rr
3.802,[Sector: 0 elevation: 0.000000],5074.2974178,1,dynamic_continuous_30s,bw100,100,rr
3.8025,[Sector: 0 elevation: 0.000000],2482.0854317999997,1,dynamic_continuous_30s,bw100,100,rr
3.803,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
3.8125,[Sector: 0 elevation: 0.000000],3421.189395,1,dynamic_continuous_30s,bw100,100,rr
3.813,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
3.8225,[Sector: 0 elevation: 0.000000],552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr
3.823,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
4.0005,[Sector: 0 elevation: 0.000000],5528.392482599999,1,dynamic_continuous_30s,bw100,100,rr
4.0015,[Sector: 0 elevation: 0.000000],5532.494994,1,dynamic_continuous_30s,bw100,100,rr
4.002,[Sector: 0 elevation: 0.000000],5532.494994,1,dynamic_continuous_30s,bw100,100,rr
4.0025,[Sector: 0 elevation: 0.000000],1781.8631532,1,dynamic_continuous_30s,bw100,100,rr
4.0145,[Sector: 0 elevation: 0.000000],3703.8986945999995,1,dynamic_continuous_30s,bw100,100,rr
4.0245,[Sector: 0 elevation: 0.000000],552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr
