time_s,beam_id,backlog_total_bytes,ues_com_backlog,ues_atendidos,starvation_real_pct,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode,jain_backlog,jain_alocacao
1.6245,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,628.4484180000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6538952745849298
1.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5278.091949,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.8015,[Sector: 0 elevation: 0.000000],77928,9,9,0.0,5288.2621038,1,dynamic_continuous_30s,bw100,100,rr,0.995667764647061,0.9997174183338985
1.802,[Sector: 0 elevation: 0.000000],45790,9,9,0.0,5279.84028,1,dynamic_continuous_30s,bw100,100,rr,0.9507786675325922,0.9997174183338985
1.8025,[Sector: 0 elevation: 0.000000],13692,9,9,0.0,2198.4317549999996,1,dynamic_continuous_30s,bw100,100,rr,0.43507844868992906,0.3146074772474301
1.803,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
1.8125,[Sector: 0 elevation: 0.000000],20664,8,8,0.0,3501.8365823999998,1,dynamic_continuous_30s,bw100,100,rr,0.8296501722688221,0.8581632653061224
1.813,[Sector: 0 elevation: 0.000000],3547,1,1,0.0,596.6081082,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
1.8225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,549.8964432,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5522875816993464
1.823,[Sector: 0 elevation: 0.000000],552,1,1,0.0,101.741328,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
2.0005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5326.4393676,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
2.0015,[Sector: 0 elevation: 0.000000],77651,9,9,0.0,5332.29021,1,dynamic_continuous_30s,bw100,100,rr,0.9956619442019081,0.9997174183338985
2.002,[Sector: 0 elevation: 0.000000],45253,9,9,0.0,5338.9637028,1,dynamic_continuous_30s,bw100,100,rr,0.9498015103417834,0.9997174183338985
2.0025,[Sector: 0 elevation: 0.000000],12825,9,9,0.0,2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr,0.39821950219579766,0.29174991342337303
2.003,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
2.013,[Sector: 0 elevation: 0.000000],25009,9,9,0.0,4172.4557784,1,dynamic_continuous_30s,bw100,100,rr,0.9444354787638481,0.9254963101548696
2.023,[Sector: 0 elevation: 0.000000],3864,7,7,0.0,736.4129292000001,1,dynamic_continuous_30s,bw100,100,rr,0.7777777777777778,0.764021164021164
2.2005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5482.3992444,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
2.2015,[Sector: 0 elevation: 0.000000],76999,9,9,0.0,5477.690883599999,1,dynamic_continuous_30s,bw100,100,rr,0.998896968392738,0.9997174183338985
2.202,[Sector: 0 elevation: 0.000000],44008,9,9,0.0,5484.1475754,1,dynamic_continuous_30s,bw100,100,rr,0.98871458010453,0.9997174183338985
2.2025,[Sector: 0 elevation: 0.000000],10981,9,9,0.0,1910.8509966,1,dynamic_continuous_30s,bw100,100,rr,0.6904780085428288,0.6719843268961657
2.2145,[Sector: 0 elevation: 0.000000],20953,9,9,0.0,3564.5600951999995,1,dynamic_continuous_30s,bw100,100,rr,0.8942073679276675,0.9366302718903875
2.2245,[Sector: 0 elevation: 0.000000],2208,4,4,0.0,441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr,0.4444444444444444,0.4444444444444444
2.4005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,4891.9701636,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
