time_s,beam_id,rnti,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
0.4065,[Sector: 0 elevation: 0.000000],4,596.6081082,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],3,651.1444991999999,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],2,596.6081082,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],1,596.6081082,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],9,717.919605,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],8,388.083735,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],7,564.8203080000001,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],6,564.8203080000001,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],5,22.096596599999998,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],4,22.096596599999998,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],3,61.0447968,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],2,22.096596599999998,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],1,22.096596599999998,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],9,76.033503,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],7,76.033503,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],6,76.033503,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],5,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],4,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],3,44.193193199999996,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],2,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],1,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],9,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],8,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],7,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],6,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],5,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],3,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],9,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],8,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],7,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],6,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],4,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],3,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],2,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],1,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],9,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],8,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],7,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
